"","x"
"1",2.58382388575852
"2",2.57330027149162
"3",2.58905426773009
"4",2.55329749465953
"5",2.59743294457805
"6",2.55494617684622
"7",2.6126111404786
"8",2.58067715131875
"9",2.5474531804839
"10",2.539903573855
"11",2.54721173194556
"12",2.6211335537754
"13",2.55548746716403
"14",2.60570448077772
"15",2.5621768602357
"16",2.54870777234041
"17",2.55813451959911
"18",2.51830725865304
"19",2.56315280389369
"20",2.55273945804306
"21",2.61684868949541
"22",2.55296319034491
"23",2.59120464605268
"24",2.5474531804839
"25",2.56068754844723
"26",2.59928447310054
"27",2.55034748995005
"28",2.61237182110674
"29",2.58346091321572
"30",2.49606117467178
"31",2.4507171025752
"32",2.55831621591622
"33",2.57262459490676
"34",2.56623564645834
"35",2.60517399076134
"36",2.61308727908576
"37",2.5560247217194
"38",2.56018415546065
"39",2.53362636191076
"40",2.51077635155603
"41",2.56363582933001
"42",2.56829449458249
"43",2.55548746716403
"44",2.54766379123623
"45",2.55385125156261
"46",2.61562542365788
"47",2.59429074880383
"48",2.59734352989612
"49",2.53648276666518
"50",2.54568421986219
"51",2.57138328156184
"52",2.53752588920383
"53",2.53435094406627
"54",2.62907922857478
"55",2.54751341736207
"56",2.57287872880816
"57",2.56941309648772
"58",2.57933938409331
"59",2.63846827805394
"60",2.54437583591322
"61",2.56266649533681
"62",2.52755782607593
"63",2.58161737138989
"64",2.55329749465953
"65",2.58769727114157
"66",2.61495930540891
"67",2.57266701385244
"68",2.58988919675141
"69",2.50876919549482
"70",2.58955642234937
"71",2.59562237089957
"72",2.54721173194556
"73",2.57475622863044
"74",2.55597117621717
"75",2.53245197375102
"76",2.51919742420401
"77",2.55089549403054
"78",2.54568421986219
"79",2.55132521656201
"80",2.53435094406627
"81",2.57817216184965
"82",2.56043629355661
"83",2.59592743369647
"84",2.54537482738782
"85",2.56761479920384
"86",2.60034922693977
"87",2.57007591153006
"88",2.56576993824659
"89",2.51368993295458
"90",2.54355393872164
"91",2.53427880643452
"92",2.52563557457957
"93",2.56530117137612
"94",2.54982447397414
"95",2.58245295530382
"96",2.57475622863044
"97",2.58578734352773
"98",2.5224438694959
"99",2.51176017266883
"100",2.54687842388313
"101",2.58254518778242
"102",2.57181377772997
"103",2.54054510532707
"104",2.5802594417512
"105",2.56806864936893
"106",2.59743294457805
"107",2.52676294642698
"108",2.53787032313317
"109",2.53787032313317
"110",2.57678554144196
"111",2.55155336242833
"112",2.57266701385244
"113",2.62888594082798
"114",2.58683557733704
"115",2.60020629587577
"116",2.570950159337
"117",2.55273945804306
"118",2.56118743240118
"119",2.61564827753463
"120",2.56553125176295
"121",2.57266701385244
"122",2.52676294642698
"123",2.55103901864024
"124",2.56063736783849
"125",2.57308981348152
"126",2.51321213034758
"127",2.54629908306539
"128",2.51557122327274
"129",2.56118743240118
"130",2.55865243800626
"131",2.58988919675141
"132",2.59562237089957
"133",2.5590384414489
"134",2.58786834337981
"135",2.57266701385244
"136",2.57007591153006
"137",2.55494617684622
"138",2.56874404723529
"139",2.59120464605268
"140",2.5916916108531
"141",2.53787032313317
"142",2.60034922693977
"143",2.56646736558221
"144",2.58217552938799
"145",2.54443867621412
"146",2.54751341736207
"147",2.5306545045462
"148",2.58871748092683
"149",2.55385125156261
"150",2.53787032313317
"151",2.54252947820993
"152",2.62667613224213
"153",2.57678554144196
"154",2.59281479610993
"155",2.54443867621412
"156",2.50774516978097
"157",2.53398954575945
"158",2.6030101807395
"159",2.59887728030346
"160",2.61564827753463
"161",2.56482930676183
"162",2.63404435053364
"163",2.58786834337981
"164",2.52927704702671
"165",2.55967720550263
"166",2.54599230152456
"167",2.57678554144196
"168",2.61692139121611
"169",2.57413590821336
"170",2.59055002247989
"171",2.54660457504647
"172",2.58613850109816
"173",2.59407662635243
"174",2.56506562875864
"175",2.57434328613046
"176",2.59531596161364
"177",2.58472318734334
"178",2.56941309648772
"179",2.64801938143491
"180",2.52676294642698
"181",2.57138328156184
"182",2.58071500230646
"183",2.54122832957134
"184",2.58067715131875
"185",2.54568421986219
"186",2.64412107208062
"187",2.56963472196388
"188",2.55046320449105
"189",2.56035419385923
"190",2.60740083617774
"191",2.61449609194597
"192",2.57434328613046
"193",2.57758122757368
"194",2.54751341736207
"195",2.54568421986219
"196",2.55787415415142
"197",2.61376525995481
"198",2.59281479610993
"199",2.52989242719739
"200",2.60447818230279
"201",2.55329749465953
"202",2.56896776334124
"203",2.53577901600341
"204",2.55813451959911
"205",2.53435094406627
"206",2.57287872880816
"207",2.55543352070543
"208",2.55385125156261
"209",2.60504072663704
"210",2.5560247217194
"211",2.52514711218581
"212",2.57516677595094
"213",2.59822604840233
"214",2.5616838543102
"215",2.56447335147514
"216",2.55014454344654
"217",2.58436484886445
"218",2.53215542497635
"219",2.61367782210689
"220",2.56703880112095
"221",2.58250830931618
"222",2.58067715131875
"223",2.57262459490676
"224",2.52432578609952
"225",2.62931305775543
"226",2.53577901600341
"227",2.60842429628974
"228",2.53140878627538
"229",2.54443867621412
"230",2.57777875592751
"231",2.55761284242704
"232",2.6323703301237
"233",2.52223179307925
"234",2.5464214340178
"235",2.5866619578892
"236",2.51785815932809
"237",2.57496180000726
"238",2.57856338639422
"239",2.61518973742849
"240",2.53648276666518
"241",2.60105948112608
"242",2.53471057371288
"243",2.50774516978097
"244",2.54122832957134
"245",2.58254518778242
"246",2.59485379771192
"247",2.55161028662428
"248",2.55329749465953
"249",2.57266701385244
"250",2.60504072663704
"251",2.50512251616828
"252",2.59281479610993
"253",2.56963472196388
"254",2.56266649533681
"255",2.5560247217194
"256",2.59120464605268
"257",2.58346091321572
"258",2.58786834337981
"259",2.5916916108531
"260",2.52432578609952
"261",2.570950159337
"262",2.60477342168925
"263",2.55916664965749
"264",2.54751341736207
"265",2.5012907296103
"266",2.57073260373749
"267",2.57475622863044
"268",2.57245466496425
"269",2.54155579795925
"270",2.55761284242704
"271",2.6020417234998
"272",2.59485379771192
"273",2.60842429628974
"274",2.55273945804306
"275",2.54412393094011
"276",2.58254518778242
"277",2.58105474830046
"278",2.55385125156261
"279",2.63452952468249
"280",2.57758122757368
"281",2.59071425541179
"282",2.57475622863044
"283",2.58346091321572
"284",2.59580556942325
"285",2.57232694981353
"286",2.56586332334381
"287",2.56315280389369
"288",2.51649441632041
"289",2.54252947820993
"290",2.56047403794817
"291",2.59224904954508
"292",2.55098164295265
"293",2.54811305246697
"294",2.59281479610993
"295",2.56692855750655
"296",2.55467399988307
"297",2.55967720550263
"298",2.59407662635243
"299",2.57051437989642
"300",2.56291006269949
"301",2.5621768602357
"302",2.60231981576908
"303",2.58254518778242
"304",2.55860081381931
"305",2.60968251372584
"306",2.61234784301226
"307",2.58955642234937
"308",2.51785815932809
"309",2.5112698737283
"310",2.62422371700394
"311",2.5662820505363
"312",2.54870777234041
"313",2.5411626592757
"314",2.62717877030475
"315",2.57181377772997
"316",2.57618283965874
"317",2.60034922693977
"318",2.60314742819584
"319",2.60034922693977
"320",2.57577816431512
"321",2.62063490882479
"322",2.62300452844715
"323",2.6111624944954
"324",2.54517301423615
"325",2.59500819428867
"326",2.51557122327274
"327",2.61655620169719
"328",2.55615841156688
"329",2.58596314236339
"330",2.50670702911266
"331",2.5405689541907
"332",2.55273945804306
"333",2.60688332710311
"334",2.58327872078777
"335",2.57758122757368
"336",2.59086173509238
"337",2.62764477137155
"338",2.58578734352773
"339",2.58161737138989
"340",2.56118743240118
"341",2.58176664727227
"342",2.51077635155603
"343",2.5160342451706
"344",2.6020417234998
"345",2.51368993295458
"346",2.5534085863814
"347",2.55942238141205
"348",2.56242209635146
"349",2.56068754844723
"350",2.63820290057079
"351",2.61520376860797
"352",2.57678554144196
"353",2.52265534229735
"354",2.53133370452158
"355",2.55329749465953
"356",2.57159885597673
"357",2.56963472196388
"358",2.54988277372536
"359",2.54751341736207
"360",2.60583646643339
"361",2.5616838543102
"362",2.5560247217194
"363",2.58010693089308
"364",2.539903573855
"365",2.57678554144196
"366",2.55708735339248
"367",2.56315280389369
"368",2.56600317227057
"369",2.54870777234041
"370",2.56459220038354
"371",2.5693686884065
"372",2.55013409080378
"373",2.54443867621412
"374",2.54317145133144
"375",2.58769727114157
"376",2.48645923860329
"377",2.55761284242704
"378",2.6200713626555
"379",2.63082385378743
"380",2.57224167846201
"381",2.54568421986219
"382",2.57587955050296
"383",2.58561110244906
"384",2.50458686575861
"385",2.59438853858178
"386",2.57758122757368
"387",2.50977947209551
"388",2.54443867621412
"389",2.57718450512007
"390",2.6363534612174
"391",2.5405689541907
"392",2.58613850109816
"393",2.5317830516406
"394",2.52676294642698
"395",2.53362636191076
"396",2.546908787903
"397",2.54317145133144
"398",2.56806864936893
"399",2.49423490795602
"400",2.5946990572272
"401",2.59607946373119
"402",2.56599851505246
"403",2.53289456885779
"404",2.59977572099787
"405",2.56738678534606
"406",2.55865243800626
"407",2.53787032313317
"408",2.57138328156184
"409",2.60583646643339
"410",2.62001781399362
"411",2.48508300987998
"412",2.5560247217194
"413",2.58854847674734
"414",2.53787032313317
"415",2.59055002247989
"416",2.57314627754706
"417",2.55839394537257
"418",2.59407662635243
"419",2.54506411328023
"420",2.55440079174774
"421",2.58302285465222
"422",2.58613850109816
"423",2.53648276666518
"424",2.61449609194597
"425",2.55273945804306
"426",2.55046320449105
"427",2.60450507462827
"428",2.53363218699693
"429",2.57891364265274
"430",2.57051437989642
"431",2.51406999272203
"432",2.50866741755887
"433",2.54285117135772
"434",2.57308981348152
"435",2.50977947209551
"436",2.58507970410044
"437",2.5385543691908
"438",2.5405689541907
"439",2.51862002697332
"440",2.53435094406627
"441",2.65512225171167
"442",2.539903573855
"443",2.56501842686901
"444",2.56941309648772
"445",2.58436484886445
"446",2.54599230152456
"447",2.57678554144196
"448",2.58063927996709
"449",2.54089938594719
"450",2.54122832957134
"451",2.53435094406627
"452",2.60583646643339
"453",2.58217552938799
"454",2.58436484886445
"455",2.5759807915221
"456",2.57073260373749
"457",2.52514711218581
"458",2.59919741899681
"459",2.5641156142348
"460",2.53435094406627
"461",2.60132325105443
"462",2.56118743240118
"463",2.48832281730604
"464",2.57626349748971
"465",2.54380781939749
"466",2.57213067226435
"467",2.56692855750655
"468",2.55682316252867
"469",2.59743294457805
"470",2.57557495481901
"471",2.58507970410044
"472",2.57678554144196
"473",2.55761284242704
"474",2.63866670180294
"475",2.59773016303566
"476",2.54900331328568
"477",2.58396855084283
"478",2.62813570255739
"479",2.61017940326268
"480",2.51783202843526
"481",2.61700566386886
"482",2.62698574246594
"483",2.56118743240118
"484",2.56553593956928
"485",2.54900331328568
"486",2.55708735339248
"487",2.5616838543102
"488",2.57051437989642
"489",2.56363582933001
"490",2.51463648943054
"491",2.53787032313317
"492",2.54929765426213
"493",2.56953950762749
"494",2.56118743240118
"495",2.51946241398484
"496",2.43888633762836
"497",2.6370226047694
"498",2.57434328613046
"499",2.54751341736207
"500",2.54122832957134
"501",2.53648276666518
"502",2.59012119836329
"503",2.55329749465953
"504",2.60816985866389
"505",2.55708735339248
"506",2.54412393094011
"507",2.58613850109816
"508",2.58375144124412
"509",2.5641156142348
"510",2.54412393094011
"511",2.56595658640617
"512",2.58167898609011
"513",2.5474531804839
"514",2.54988277372536
"515",2.52391168663736
"516",2.63234552364833
"517",2.56266649533681
"518",2.60176250600902
"519",2.58472318734334
"520",2.59249573043677
"521",2.53159615662151
"522",2.55865243800626
"523",2.56315280389369
"524",2.57465321860734
"525",2.61467016590292
"526",2.570950159337
"527",2.54870777234041
"528",2.63967581706037
"529",2.51463648943054
"530",2.58091300938977
"531",2.57051437989642
"532",2.54629908306539
"533",2.5325259246731
"534",2.44919356541751
"535",2.57181377772997
"536",2.5325259246731
"537",2.5759807915221
"538",2.53524673829535
"539",2.56266649533681
"540",2.60369370138069
"541",2.61449609194597
"542",2.59683465649223
"543",2.58552281539495
"544",2.54929765426213
"545",2.5725248104045
"546",2.59087810248621
"547",2.58436484886445
"548",2.54721173194556
"549",2.54443867621412
"550",2.60120065987244
"551",2.55329749465953
"552",2.53613173518289
"553",2.59905208498427
"554",2.53289456885779
"555",2.60688332710311
"556",2.53648276666518
"557",2.55385125156261
"558",2.53289456885779
"559",2.57051437989642
"560",2.59249573043677
"561",2.54220635978909
"562",2.56829449458249
"563",2.53289456885779
"564",2.57475622863044
"565",2.60259679156168
"566",2.54629908306539
"567",2.6167813037746
"568",2.58578734352773
"569",2.61486691408914
"570",2.55101607382435
"571",2.5547285175284
"572",2.54122832957134
"573",2.58938943839343
"574",2.56829449458249
"575",2.55273945804306
"576",2.5402370212381
"577",2.5560247217194
"578",2.56576993824659
"579",2.55655799827891
"580",2.54841102193511
"581",2.57346818911456
"582",2.59840690879667
"583",2.5402370212381
"584",2.6167813037746
"585",2.54929765426213
"586",2.62618850037597
"587",2.54751341736207
"588",2.55161028662428
"589",2.55494617684622
"590",2.50825892380872
"591",2.57512582823676
"592",2.6405796735371
"593",2.55217707731334
"594",2.55329749465953
"595",2.53435094406627
"596",2.61541939312078
"597",2.53752865111073
"598",2.57844663747237
"599",2.58700876716739
"600",2.55916664965749
"601",2.60450507462827
"602",2.55385125156261
"603",2.58786834337981
"604",2.55916664965749
"605",2.5882092372667
"606",2.58254518778242
"607",2.55967720550263
"608",2.58955642234937
"609",2.62404223408174
"610",2.5402370212381
"611",2.61402971134643
"612",2.55761284242704
"613",2.60077625500869
"614",2.55708735339248
"615",2.50404738979937
"616",2.55189423738677
"617",2.57401118935404
"618",2.53103261022157
"619",2.61445262022543
"620",2.61213166079749
"621",2.49423490795602
"622",2.59438853858178
"623",2.55046320449105
"624",2.56761479920384
"625",2.5660729940917
"626",2.56363582933001
"627",2.55324188463644
"628",2.56018415546065
"629",2.55046320449105
"630",2.56761479920384
"631",2.54380781939749
"632",2.58418499083457
"633",2.5112698737283
"634",2.55296319034491
"635",2.55548746716403
"636",2.58067715131875
"637",2.48508300987998
"638",2.52094646989912
"639",2.51368993295458
"640",2.60163957184945
"641",2.60423567756016
"642",2.58988919675141
"643",2.6211335537754
"644",2.55967720550263
"645",2.62637952933014
"646",2.55508188098423
"647",2.52539174588623
"648",2.56118743240118
"649",2.56118743240118
"650",2.51321213034758
"651",2.58289457119464
"652",2.53289456885779
"653",2.57718450512007
"654",2.55046320449105
"655",2.62217935822743
"656",2.51649441632041
"657",2.55629185368615
"658",2.55813451959911
